log_id,log_date,duration_minutes,total_calories_burned,average_heart_rate,trainee_feedback_rating,coach_notes,program_id,trainee_id
23,2023-02-05,75.54,486,148.5,3,"A bit distracted, but finished the routine.",5,44
24,2023-12-03,36.78,267,165.2,3,"Great effort today, pushed through the fatigue.",6,400
25,2023-03-16,68.17,497,175.5,7,"Great effort today, pushed through the fatigue.",10,252
26,2023-08-28,79.06,660,131.6,3,"Great effort today, pushed through the fatigue.",5,62
27,2023-05-27,56.24,537,161.0,3,"Great effort today, pushed through the fatigue.",2,13
28,2024-01-04,31.29,257,169.1,1,Crushed the personal records today!,2,492
29,2023-01-07,51.19,340,171.2,5,Crushed the personal records today!,2,493
30,2023-06-20,61.4,347,165.8,7,Needs to work on breathing technique during heavy lifts.,9,296
31,2023-05-05,72.8,638,120.1,9,Crushed the personal records today!,1,302
32,2023-02-22,117.42,830,131.1,6,"Solid session, increased weights on main exercises.",9,123
33,2023-09-12,72.69,384,152.1,10,Needs to work on breathing technique during heavy lifts.,1,312
34,2024-02-01,83.98,591,121.0,4,"Good pace, kept heart rate in the target zone.",10,412
35,2024-01-22,102.24,759,124.2,1,"Struggled with the last few sets, might need more recovery.",1,81
36,2024-02-05,80.19,533,169.1,3,"Good pace, kept heart rate in the target zone.",1,167
37,2023-02-22,105.47,794,110.8,2,Crushed the personal records today!,6,80
38,2023-01-18,31.11,285,175.0,6,Excellent form throughout the entire workout.,6,448
39,2024-02-29,80.29,576,135.4,4,Felt a bit tired but completed the program.,8,476
40,2023-10-15,56.64,344,172.1,7,"Great effort today, pushed through the fatigue.",3,298
41,2023-08-01,105.71,1009,161.7,3,Excellent form throughout the entire workout.,9,5
42,2024-02-12,61.9,420,154.9,6,Felt a bit tired but completed the program.,6,234
43,2024-01-01,48.86,276,184.1,6,Crushed the personal records today!,9,379
44,2024-02-17,60.21,446,161.9,6,Crushed the personal records today!,3,243
45,2023-03-11,30.94,256,140.4,2,Excellent form throughout the entire workout.,8,343
46,2023-01-22,97.78,764,181.9,1,Excellent form throughout the entire workout.,1,272
47,2023-10-04,100.36,951,163.8,6,Crushed the personal records today!,7,33
48,2023-04-03,57.22,312,133.5,3,Felt a bit tired but completed the program.,5,387
49,2023-07-31,82.9,649,143.0,1,"Good pace, kept heart rate in the target zone.",1,492
50,2023-02-18,45.05,272,145.7,6,"A bit distracted, but finished the routine.",9,401
51,2023-07-13,38.17,370,151.7,1,Crushed the personal records today!,3,66
52,2023-01-13,111.11,1012,143.7,9,"Great effort today, pushed through the fatigue.",5,193
53,2023-02-27,93.31,564,111.5,10,"Struggled with the last few sets, might need more recovery.",5,257
54,2023-07-22,95.51,490,169.8,9,"Great effort today, pushed through the fatigue.",2,202
55,2023-12-18,67.8,468,110.0,10,"Struggled with the last few sets, might need more recovery.",9,49
56,2023-10-11,68.84,546,154.9,1,Crushed the personal records today!,2,477
57,2024-02-29,98.17,674,130.9,4,"Good pace, kept heart rate in the target zone.",3,341
58,2023-01-20,47.57,425,112.0,2,Needs to work on breathing technique during heavy lifts.,5,101
59,2023-09-05,53.71,444,139.0,10,"Solid session, increased weights on main exercises.",7,18
60,2024-01-21,101.0,811,125.1,2,Felt a bit tired but completed the program.,7,4
61,2023-07-30,76.92,428,140.5,3,Needs to work on breathing technique during heavy lifts.,1,197
62,2023-12-02,112.1,747,171.3,3,Crushed the personal records today!,8,448
63,2024-02-18,91.69,667,151.8,5,Needs to work on breathing technique during heavy lifts.,2,347
64,2024-01-07,118.53,799,157.2,6,Crushed the personal records today!,2,482
65,2023-06-20,61.34,328,156.2,8,Crushed the personal records today!,5,12
66,2024-01-12,117.02,916,175.1,8,"Solid session, increased weights on main exercises.",2,349
67,2023-02-21,97.13,488,153.3,7,Felt a bit tired but completed the program.,7,429
68,2023-09-09,89.52,770,132.1,3,Crushed the personal records today!,2,235
69,2023-05-18,57.45,453,179.8,5,"A bit distracted, but finished the routine.",8,192
70,2023-03-18,77.98,417,140.3,2,Needs to work on breathing technique during heavy lifts.,9,345
71,2023-11-10,78.62,602,160.2,9,Felt a bit tired but completed the program.,5,319
72,2023-04-20,64.16,453,114.9,5,Excellent form throughout the entire workout.,3,382
73,2023-11-06,109.81,819,142.3,3,"Standard workout, no special issues.",2,293
74,2023-09-24,39.7,266,154.7,3,"Struggled with the last few sets, might need more recovery.",8,366
75,2023-09-06,47.4,319,137.4,4,Crushed the personal records today!,1,307
76,2023-06-15,32.77,182,131.5,5,"Standard workout, no special issues.",5,474
77,2023-03-31,35.88,247,144.2,10,"Solid session, increased weights on main exercises.",7,410
78,2023-12-26,33.08,305,182.2,1,Felt a bit tired but completed the program.,10,47
79,2024-01-27,118.27,1113,127.4,10,"Struggled with the last few sets, might need more recovery.",2,440
80,2023-08-16,52.21,501,155.6,3,Crushed the personal records today!,5,37
81,2024-02-27,37.68,345,172.2,5,"Solid session, increased weights on main exercises.",7,256
82,2023-08-08,49.9,491,152.9,3,"Great effort today, pushed through the fatigue.",8,169
83,2024-02-19,97.76,658,111.8,8,"Great effort today, pushed through the fatigue.",7,341
84,2023-01-06,77.88,642,147.8,2,"Great effort today, pushed through the fatigue.",6,39
85,2023-07-01,32.55,219,136.2,2,"Solid session, increased weights on main exercises.",10,258
86,2024-01-08,84.67,635,134.7,2,"Good pace, kept heart rate in the target zone.",2,253
87,2023-12-22,79.15,669,128.8,4,"Struggled with the last few sets, might need more recovery.",10,431
88,2023-06-13,41.01,334,181.0,6,"Struggled with the last few sets, might need more recovery.",6,457
89,2023-10-26,56.94,285,139.4,1,Needs to work on breathing technique during heavy lifts.,4,201
90,2023-04-03,78.18,595,162.0,7,"Good pace, kept heart rate in the target zone.",4,176
91,2023-05-02,107.92,632,130.6,6,Crushed the personal records today!,2,268
92,2023-10-07,90.4,621,132.5,1,"A bit distracted, but finished the routine.",5,271
93,2023-09-21,60.61,559,163.3,10,"A bit distracted, but finished the routine.",1,447
94,2023-07-10,72.68,561,172.6,9,"Good pace, kept heart rate in the target zone.",9,36
95,2023-05-12,44.07,436,155.0,6,"Struggled with the last few sets, might need more recovery.",9,397
96,2023-12-11,62.4,536,184.0,1,"Struggled with the last few sets, might need more recovery.",5,67
97,2023-03-15,35.03,203,121.8,6,Excellent form throughout the entire workout.,4,329
98,2023-06-10,104.66,984,144.0,4,Crushed the personal records today!,8,303
99,2023-01-27,57.11,375,181.6,1,"Great effort today, pushed through the fatigue.",7,389
100,2023-08-26,54.18,411,123.5,1,Crushed the personal records today!,6,125
101,2023-10-18,87.27,782,117.3,5,Crushed the personal records today!,9,437
102,2023-02-02,85.52,630,178.4,10,"Struggled with the last few sets, might need more recovery.",5,104
103,2023-01-09,87.94,800,118.4,4,"Great effort today, pushed through the fatigue.",8,280
104,2023-06-19,63.85,476,160.6,9,Excellent form throughout the entire workout.,4,24
105,2023-07-22,104.56,751,128.0,2,Felt a bit tired but completed the program.,2,290
106,2023-01-12,82.13,815,114.3,4,Felt a bit tired but completed the program.,9,388
107,2023-02-22,106.55,722,183.5,6,Crushed the personal records today!,10,343
108,2023-08-21,70.8,606,112.5,4,"A bit distracted, but finished the routine.",10,65
109,2023-10-22,116.22,1152,179.5,7,"Great effort today, pushed through the fatigue.",8,49
110,2024-02-17,55.25,508,161.1,9,"Standard workout, no special issues.",4,251
111,2023-04-11,98.87,726,174.9,8,Excellent form throughout the entire workout.,10,398
112,2023-06-19,56.7,374,150.7,3,Needs to work on breathing technique during heavy lifts.,10,135
113,2023-07-02,77.07,746,184.5,10,Needs to work on breathing technique during heavy lifts.,10,64
114,2023-09-19,71.4,421,124.9,1,Crushed the personal records today!,6,402
115,2023-01-10,119.18,1083,120.6,6,"Struggled with the last few sets, might need more recovery.",3,60
116,2023-03-18,34.54,336,149.6,1,"Standard workout, no special issues.",1,262
117,2023-05-24,86.12,710,170.6,5,Needs to work on breathing technique during heavy lifts.,2,77
118,2023-12-25,45.13,281,134.7,9,Felt a bit tired but completed the program.,1,263
119,2023-05-08,39.04,350,156.4,6,"A bit distracted, but finished the routine.",4,63
120,2024-01-04,110.39,1068,175.2,9,Felt a bit tired but completed the program.,8,148
121,2023-12-16,108.18,542,133.1,8,"Good pace, kept heart rate in the target zone.",2,235
122,2023-01-10,92.14,687,183.3,8,Felt a bit tired but completed the program.,2,489
123,2023-01-21,36.67,361,131.8,10,"A bit distracted, but finished the routine.",4,83
124,2023-10-10,36.87,206,183.9,8,"Great effort today, pushed through the fatigue.",5,292
125,2024-02-29,72.62,500,155.0,7,"Standard workout, no special issues.",1,205
126,2023-01-10,35.17,220,148.7,3,Felt a bit tired but completed the program.,3,9
127,2023-07-27,42.29,421,183.4,4,Crushed the personal records today!,1,456
128,2023-12-31,76.5,467,128.9,6,Felt a bit tired but completed the program.,2,465
129,2023-07-11,76.19,658,122.3,5,Felt a bit tired but completed the program.,3,272
130,2023-08-22,41.05,230,119.2,2,"Standard workout, no special issues.",1,476
131,2023-07-28,115.14,1077,130.1,9,Needs to work on breathing technique during heavy lifts.,3,308
132,2023-10-31,87.69,515,115.4,7,"Standard workout, no special issues.",2,8
133,2023-11-25,50.55,431,131.6,1,Needs to work on breathing technique during heavy lifts.,9,186
134,2023-10-16,101.79,1011,172.6,5,"Good pace, kept heart rate in the target zone.",3,446
135,2023-07-08,47.54,371,152.3,6,"Good pace, kept heart rate in the target zone.",9,45
136,2023-07-11,93.79,604,147.2,8,Excellent form throughout the entire workout.,7,495
137,2023-04-13,101.24,543,115.2,2,Needs to work on breathing technique during heavy lifts.,2,484
138,2023-12-05,65.53,492,132.8,3,Crushed the personal records today!,2,347
139,2023-02-14,62.94,596,140.7,5,Felt a bit tired but completed the program.,1,425
140,2023-03-10,113.88,1134,139.9,2,"Solid session, increased weights on main exercises.",4,353
141,2023-10-23,50.09,448,158.6,2,"Great effort today, pushed through the fatigue.",1,252
142,2023-01-08,100.27,789,129.7,2,Crushed the personal records today!,10,108
143,2023-04-26,84.45,753,160.4,6,"Struggled with the last few sets, might need more recovery.",3,161
144,2023-10-02,91.7,873,141.1,5,"Great effort today, pushed through the fatigue.",3,141
145,2023-02-20,60.48,390,152.1,1,"Struggled with the last few sets, might need more recovery.",5,149
146,2023-09-09,45.3,290,163.2,10,"Good pace, kept heart rate in the target zone.",6,426
147,2023-12-13,50.04,453,124.6,1,"Great effort today, pushed through the fatigue.",4,362
148,2023-11-25,73.17,727,137.4,8,Excellent form throughout the entire workout.,9,500
149,2023-03-22,45.68,332,173.4,2,Felt a bit tired but completed the program.,7,147
150,2023-05-13,52.05,395,175.8,7,"A bit distracted, but finished the routine.",4,405
151,2023-02-19,45.59,277,149.8,5,"Struggled with the last few sets, might need more recovery.",2,390
152,2023-02-03,114.92,928,146.4,3,"Solid session, increased weights on main exercises.",1,345
153,2024-02-04,56.83,405,175.6,2,Needs to work on breathing technique during heavy lifts.,8,460
154,2023-10-06,119.7,706,132.7,3,Needs to work on breathing technique during heavy lifts.,2,236
155,2023-10-17,78.33,452,147.2,7,Crushed the personal records today!,1,460
156,2023-05-23,101.56,829,133.6,9,Crushed the personal records today!,7,395
157,2024-01-23,111.17,703,141.9,1,Needs to work on breathing technique during heavy lifts.,5,329
158,2023-06-22,71.62,477,118.7,7,Felt a bit tired but completed the program.,10,45
159,2023-04-03,38.79,252,156.9,9,"A bit distracted, but finished the routine.",8,238
160,2023-12-04,30.7,206,141.5,1,"Good pace, kept heart rate in the target zone.",8,112
161,2023-01-19,77.96,420,180.6,1,Felt a bit tired but completed the program.,3,56
162,2023-01-04,44.44,403,141.4,1,Crushed the personal records today!,6,405
163,2023-01-08,95.93,918,171.0,1,Felt a bit tired but completed the program.,9,418
164,2023-06-02,54.36,543,153.8,10,Excellent form throughout the entire workout.,10,192
165,2023-07-09,94.47,744,126.1,9,Excellent form throughout the entire workout.,1,184
166,2023-01-15,115.19,962,122.1,4,"Solid session, increased weights on main exercises.",6,249
167,2023-01-31,109.89,905,136.8,10,Crushed the personal records today!,1,471
168,2023-11-27,74.15,724,127.5,8,Felt a bit tired but completed the program.,9,396
169,2023-03-04,33.25,318,177.5,8,Needs to work on breathing technique during heavy lifts.,10,82
170,2023-06-08,59.52,396,169.5,4,"Good pace, kept heart rate in the target zone.",10,312
171,2023-05-15,52.11,500,111.2,7,Needs to work on breathing technique during heavy lifts.,6,239
172,2024-02-15,99.37,947,145.9,5,"Standard workout, no special issues.",3,225
173,2023-01-01,61.02,322,116.3,2,"Struggled with the last few sets, might need more recovery.",1,40
174,2024-01-04,74.31,386,165.5,3,"A bit distracted, but finished the routine.",7,493
175,2023-12-25,68.58,533,142.0,2,"Struggled with the last few sets, might need more recovery.",6,210
176,2023-02-23,74.12,663,165.3,1,Excellent form throughout the entire workout.,1,481
177,2023-08-13,55.58,442,173.3,5,"Solid session, increased weights on main exercises.",4,36
178,2023-02-06,102.41,845,174.6,2,Excellent form throughout the entire workout.,4,449
179,2023-06-20,113.09,1049,134.9,3,Felt a bit tired but completed the program.,7,438
180,2023-12-22,114.09,854,126.2,10,"Great effort today, pushed through the fatigue.",5,315
181,2023-07-06,73.04,656,146.8,9,"Solid session, increased weights on main exercises.",1,134
182,2023-07-17,79.72,538,112.0,2,"A bit distracted, but finished the routine.",10,231
183,2023-02-22,50.64,419,128.1,7,"Great effort today, pushed through the fatigue.",10,209
184,2023-12-31,40.06,267,148.5,4,Excellent form throughout the entire workout.,10,211
185,2023-07-22,96.05,887,180.7,9,Needs to work on breathing technique during heavy lifts.,8,87
186,2023-07-27,85.25,646,165.1,8,"Great effort today, pushed through the fatigue.",7,317
187,2023-08-06,119.42,1075,130.5,7,Felt a bit tired but completed the program.,5,254
188,2023-02-22,83.47,670,179.6,4,"Standard workout, no special issues.",7,344
189,2024-02-22,31.78,167,114.7,7,"Struggled with the last few sets, might need more recovery.",6,440
190,2023-11-25,91.23,797,174.0,2,"Good pace, kept heart rate in the target zone.",6,193
191,2023-04-22,108.6,880,168.3,10,Felt a bit tired but completed the program.,10,313
192,2023-10-03,42.69,255,114.2,9,Excellent form throughout the entire workout.,9,283
193,2024-02-24,95.27,822,153.5,6,"Struggled with the last few sets, might need more recovery.",4,298
194,2023-12-14,95.49,795,120.6,10,Excellent form throughout the entire workout.,6,49
195,2024-01-17,117.23,1059,182.7,10,Felt a bit tired but completed the program.,4,454
196,2023-02-12,61.79,374,184.1,9,Excellent form throughout the entire workout.,8,266
197,2023-12-08,108.77,648,127.8,3,Needs to work on breathing technique during heavy lifts.,4,447
198,2023-06-28,84.8,832,115.9,8,Felt a bit tired but completed the program.,3,342
199,2023-01-25,68.98,679,125.2,9,"A bit distracted, but finished the routine.",5,209
200,2023-10-18,86.01,716,122.3,10,Crushed the personal records today!,8,455
201,2023-07-07,87.8,844,155.4,2,Crushed the personal records today!,1,399
202,2023-06-08,57.74,358,150.7,3,"A bit distracted, but finished the routine.",9,167
203,2023-10-03,34.88,176,138.0,10,Excellent form throughout the entire workout.,2,427
204,2023-08-14,47.42,379,146.2,2,"Good pace, kept heart rate in the target zone.",2,358
205,2023-12-01,116.38,1052,151.7,5,Felt a bit tired but completed the program.,2,345
206,2023-07-25,92.91,574,174.2,5,"Good pace, kept heart rate in the target zone.",9,88
207,2023-07-26,76.45,531,157.5,7,"Standard workout, no special issues.",3,341
208,2024-01-10,74.77,471,174.3,4,"Struggled with the last few sets, might need more recovery.",10,470
209,2023-03-15,72.26,551,156.7,1,"Solid session, increased weights on main exercises.",8,464
210,2023-07-23,106.52,755,115.5,10,"Standard workout, no special issues.",5,84
211,2024-01-27,65.64,536,112.6,2,Crushed the personal records today!,10,460
212,2023-01-22,57.71,527,148.2,2,Needs to work on breathing technique during heavy lifts.,6,294
213,2023-07-15,109.26,859,114.8,8,"Great effort today, pushed through the fatigue.",5,274
214,2024-02-24,63.57,337,143.3,1,"Standard workout, no special issues.",2,385
215,2023-06-01,117.93,647,144.2,6,"Standard workout, no special issues.",2,255
216,2023-10-30,52.58,331,117.2,3,"A bit distracted, but finished the routine.",7,241
217,2024-01-26,116.83,719,144.4,4,"A bit distracted, but finished the routine.",10,370
218,2023-07-24,87.33,476,125.6,8,"Good pace, kept heart rate in the target zone.",2,160
219,2023-08-26,96.22,686,173.6,9,"Good pace, kept heart rate in the target zone.",7,52
220,2024-02-12,96.66,541,114.8,8,"Standard workout, no special issues.",10,49
221,2023-04-08,81.07,643,184.4,7,Crushed the personal records today!,8,413
222,2023-11-17,118.03,1172,155.4,9,"A bit distracted, but finished the routine.",10,407
223,2023-09-23,52.08,513,143.9,6,"Solid session, increased weights on main exercises.",3,201
224,2023-03-30,40.79,237,129.1,1,"Great effort today, pushed through the fatigue.",9,478
225,2023-10-18,46.66,348,132.7,3,"Good pace, kept heart rate in the target zone.",5,135
226,2023-10-02,58.86,465,181.5,7,Felt a bit tired but completed the program.,3,251
227,2023-12-31,82.89,546,178.8,10,"Standard workout, no special issues.",1,77
228,2023-01-19,59.13,479,119.9,7,Needs to work on breathing technique during heavy lifts.,1,449
229,2023-06-17,110.04,1059,177.3,10,Crushed the personal records today!,8,263
230,2023-10-26,115.03,801,113.9,5,"A bit distracted, but finished the routine.",9,437
231,2023-11-10,73.69,592,162.4,8,"Standard workout, no special issues.",2,364
232,2023-03-04,33.68,258,129.7,10,Needs to work on breathing technique during heavy lifts.,9,451
233,2023-03-18,60.62,573,146.9,7,Excellent form throughout the entire workout.,10,477
234,2023-03-29,110.84,891,143.5,10,Crushed the personal records today!,7,382
235,2023-12-04,37.35,343,179.2,8,Excellent form throughout the entire workout.,5,54
236,2023-03-03,96.11,772,157.0,7,Needs to work on breathing technique during heavy lifts.,3,103
237,2023-01-30,94.28,757,167.0,7,Crushed the personal records today!,9,462
238,2024-01-02,41.26,375,173.6,4,"Solid session, increased weights on main exercises.",8,208
239,2023-04-27,87.78,637,146.9,6,"Solid session, increased weights on main exercises.",4,234
240,2023-12-12,43.18,245,125.8,5,"A bit distracted, but finished the routine.",3,185
241,2023-07-31,65.41,336,149.8,6,"Struggled with the last few sets, might need more recovery.",7,373
242,2024-02-07,103.86,742,177.8,8,"Great effort today, pushed through the fatigue.",5,30
243,2023-08-10,50.79,341,163.9,6,"Good pace, kept heart rate in the target zone.",7,125
244,2023-06-19,50.54,287,174.7,6,Needs to work on breathing technique during heavy lifts.,10,457
245,2023-07-15,53.65,485,182.1,9,"Standard workout, no special issues.",1,408
246,2023-08-01,33.23,188,130.4,7,"Great effort today, pushed through the fatigue.",5,416
247,2024-02-08,68.0,602,166.2,2,"Standard workout, no special issues.",7,411
248,2023-12-11,111.06,755,132.6,3,"Standard workout, no special issues.",10,297
249,2023-02-04,88.56,798,149.7,4,"Great effort today, pushed through the fatigue.",5,301
250,2023-05-09,115.38,884,135.5,2,Needs to work on breathing technique during heavy lifts.,3,485
251,2023-05-22,40.53,299,126.3,4,"Solid session, increased weights on main exercises.",8,354
252,2023-11-29,113.41,1055,180.5,1,"Great effort today, pushed through the fatigue.",6,327
253,2024-01-28,118.42,980,130.2,8,"Standard workout, no special issues.",10,147
254,2023-11-22,64.92,358,143.8,2,"Solid session, increased weights on main exercises.",9,498
255,2023-03-01,54.39,475,126.5,7,Felt a bit tired but completed the program.,10,277
256,2023-07-07,67.43,398,172.9,9,Excellent form throughout the entire workout.,7,38
257,2023-12-18,37.82,242,166.1,9,"Standard workout, no special issues.",6,406
258,2024-01-31,93.26,747,132.0,5,"A bit distracted, but finished the routine.",3,459
259,2023-11-23,91.47,873,149.8,7,"Great effort today, pushed through the fatigue.",7,473
260,2023-07-06,90.5,465,132.2,4,Excellent form throughout the entire workout.,4,292
261,2023-10-04,114.06,696,112.4,7,Needs to work on breathing technique during heavy lifts.,10,162
262,2023-03-01,61.45,479,150.3,1,Crushed the personal records today!,2,98
263,2023-12-29,99.9,706,164.0,1,Needs to work on breathing technique during heavy lifts.,4,34
264,2023-04-14,98.48,808,118.4,2,"Standard workout, no special issues.",5,269
265,2023-04-25,119.49,1083,161.1,5,Felt a bit tired but completed the program.,3,383
266,2023-03-20,33.13,193,131.5,6,Felt a bit tired but completed the program.,6,427
267,2023-10-23,30.74,256,184.0,2,"Solid session, increased weights on main exercises.",8,248
268,2023-04-30,79.92,630,118.1,6,Crushed the personal records today!,10,252
269,2023-11-28,46.47,261,122.0,10,"A bit distracted, but finished the routine.",3,372
270,2023-03-12,78.78,767,154.9,4,"Solid session, increased weights on main exercises.",6,48
271,2023-04-19,64.94,585,173.6,9,Needs to work on breathing technique during heavy lifts.,7,118
272,2023-06-27,69.05,379,122.3,6,"Struggled with the last few sets, might need more recovery.",8,447
273,2024-02-22,43.37,299,154.2,5,"Solid session, increased weights on main exercises.",4,34
274,2023-03-11,76.83,468,112.3,1,"Good pace, kept heart rate in the target zone.",4,28
275,2023-10-24,100.31,882,159.5,4,"Good pace, kept heart rate in the target zone.",8,185
276,2023-11-07,79.67,655,140.6,5,"Great effort today, pushed through the fatigue.",7,387
277,2023-01-03,52.46,487,139.1,9,Needs to work on breathing technique during heavy lifts.,9,368
278,2024-01-10,53.02,353,182.7,7,"A bit distracted, but finished the routine.",7,261
279,2023-01-07,106.07,716,168.8,5,"Great effort today, pushed through the fatigue.",8,242
280,2023-09-20,119.86,1009,146.8,7,"Standard workout, no special issues.",1,56
281,2023-05-19,101.89,959,154.6,2,"Great effort today, pushed through the fatigue.",2,266
282,2024-01-19,42.16,387,147.3,2,"Solid session, increased weights on main exercises.",5,208
283,2023-05-25,102.95,930,182.1,2,"A bit distracted, but finished the routine.",1,104
284,2023-06-14,71.82,460,181.0,7,"A bit distracted, but finished the routine.",8,51
285,2023-01-14,91.66,480,137.6,6,Needs to work on breathing technique during heavy lifts.,3,3
286,2023-03-24,119.31,632,117.6,7,"Struggled with the last few sets, might need more recovery.",10,158
287,2023-10-18,119.71,736,159.3,3,"Solid session, increased weights on main exercises.",1,15
288,2023-09-24,114.92,576,110.7,4,"Great effort today, pushed through the fatigue.",10,175
289,2023-07-19,100.73,540,154.1,4,Felt a bit tired but completed the program.,2,112
290,2024-03-01,31.77,164,129.1,8,"Struggled with the last few sets, might need more recovery.",5,43
291,2023-04-10,74.04,601,149.9,7,"A bit distracted, but finished the routine.",4,123
292,2023-08-26,83.74,713,114.8,5,"Good pace, kept heart rate in the target zone.",2,343
293,2023-03-03,50.04,462,168.6,8,"A bit distracted, but finished the routine.",3,143
294,2023-09-02,97.23,894,145.3,8,"Struggled with the last few sets, might need more recovery.",8,112
295,2023-04-29,48.82,473,145.7,5,Crushed the personal records today!,6,287
296,2023-07-16,99.59,547,164.2,1,Excellent form throughout the entire workout.,2,177
297,2023-09-17,99.01,534,178.7,3,Excellent form throughout the entire workout.,2,342
298,2023-01-26,37.34,264,145.9,2,"Great effort today, pushed through the fatigue.",1,172
299,2023-10-03,95.73,566,155.6,5,"Standard workout, no special issues.",10,361
300,2023-09-21,41.37,281,123.7,10,"Good pace, kept heart rate in the target zone.",1,445
301,2023-08-04,107.41,1069,118.0,5,"Great effort today, pushed through the fatigue.",8,179
302,2023-12-25,58.76,409,167.5,5,"Struggled with the last few sets, might need more recovery.",8,55
303,2024-01-24,88.4,744,127.5,10,Needs to work on breathing technique during heavy lifts.,6,4
304,2023-07-06,115.73,1021,123.1,3,"A bit distracted, but finished the routine.",1,434
305,2023-10-04,54.86,332,115.1,3,Needs to work on breathing technique during heavy lifts.,9,418
306,2023-07-20,90.93,907,121.4,2,"Great effort today, pushed through the fatigue.",1,221
307,2024-02-01,88.63,630,128.4,10,Crushed the personal records today!,10,407
308,2023-03-16,41.51,221,129.6,10,"Struggled with the last few sets, might need more recovery.",10,87
309,2023-05-16,68.88,625,163.6,2,Felt a bit tired but completed the program.,8,333
310,2024-01-15,73.89,397,160.8,7,Felt a bit tired but completed the program.,7,47
311,2023-03-23,104.94,827,141.4,4,"Standard workout, no special issues.",9,71
312,2023-09-16,102.5,884,138.1,8,Felt a bit tired but completed the program.,9,229
313,2024-02-11,113.06,623,110.7,5,"Standard workout, no special issues.",7,447
314,2024-01-03,93.22,880,171.4,5,"Standard workout, no special issues.",4,17
315,2023-10-22,47.65,466,142.5,2,"Good pace, kept heart rate in the target zone.",7,201
316,2023-02-03,118.17,855,171.6,3,Crushed the personal records today!,1,470
317,2023-05-04,32.1,253,176.5,1,"Great effort today, pushed through the fatigue.",6,244
318,2024-03-01,85.36,621,136.6,10,Needs to work on breathing technique during heavy lifts.,2,174
319,2023-02-04,97.81,654,147.2,8,Excellent form throughout the entire workout.,3,402
320,2023-06-15,99.52,616,129.4,3,"A bit distracted, but finished the routine.",5,87
321,2023-12-02,69.38,605,162.3,9,Excellent form throughout the entire workout.,3,347
322,2023-04-16,33.8,333,132.1,9,Crushed the personal records today!,3,299
323,2023-07-05,77.43,481,114.9,9,"Great effort today, pushed through the fatigue.",7,193
324,2023-02-03,49.38,306,130.7,1,Crushed the personal records today!,5,469
325,2023-04-23,87.67,687,182.8,1,"Good pace, kept heart rate in the target zone.",9,12
326,2023-08-13,48.11,255,146.0,10,Excellent form throughout the entire workout.,6,148
327,2023-08-01,72.26,682,184.0,8,Crushed the personal records today!,3,98
328,2023-10-25,104.9,913,144.6,10,"Standard workout, no special issues.",4,278
329,2023-05-29,106.72,1022,153.8,10,Felt a bit tired but completed the program.,8,52
330,2023-03-03,66.98,536,144.6,7,Crushed the personal records today!,2,157
331,2023-04-13,46.81,397,146.4,6,"Standard workout, no special issues.",7,297
332,2023-12-02,109.38,827,173.1,9,"Solid session, increased weights on main exercises.",7,131
333,2023-03-10,78.02,447,173.6,5,"Standard workout, no special issues.",5,340
334,2023-09-30,34.82,254,170.2,10,Crushed the personal records today!,4,351
335,2023-12-26,76.05,486,111.5,7,Excellent form throughout the entire workout.,2,400
336,2023-06-08,86.91,453,134.5,4,"Good pace, kept heart rate in the target zone.",3,115
